Date,Year,Month,Product_ID,Product_Name,Category,Store_ID,City,Units_Sold,Sales,Revenue,Discount,Promotion,Stock_Level,Profit
2024-08-08,2024,August,P102,Laptop,Electronics,S01,Chennai,13,13,520000,20,Yes,55,139263
2022-04-05,2022,April,P104,Smartwatch,Electronics,S04,Bangalore,14,14,112000,20,No,98,28755
2024-04-24,2024,April,P102,Laptop,Electronics,S04,Bangalore,19,19,760000,20,No,82,222333
2020-10-22,2020,October,P101,Mobile,Electronics,S04,Bangalore,18,18,270000,0,Yes,59,42677
2025-07-04,2025,July,P102,Laptop,Electronics,S04,Bangalore,1,1,47500,5,Yes,49,6170
2019-12-15,2019,December,P104,Smartwatch,Electronics,S04,Bangalore,25,25,212500,15,No,24,37564
2024-01-05,2024,January,P104,Smartwatch,Electronics,S05,Hyderabad,17,17,136000,20,No,37,24652
2024-02-10,2024,February,P101,Mobile,Electronics,S05,Hyderabad,8,8,96000,20,Yes,79,28027
2019-09-10,2019,September,P102,Laptop,Electronics,S01,Chennai,8,8,320000,20,Yes,32,75366
2025-02-18,2025,February,P103,Headphones,Accessories,S01,Chennai,15,15,38250,15,No,96,7413
2024-01-19,2024,January,P103,Headphones,Accessories,S02,Madurai,14,14,35700,15,No,25,8670
2023-11-19,2023,November,P102,Laptop,Electronics,S01,Chennai,28,28,1330000,5,No,15,319185
2024-09-11,2024,September,P105,Camera,Electronics,S05,Hyderabad,17,17,403750,5,Yes,41,111264
2025-03-10,2025,March,P102,Laptop,Electronics,S03,Coimbatore,16,16,760000,5,Yes,45,165812
2019-01-12,2019,January,P101,Mobile,Electronics,S01,Chennai,7,7,84000,20,No,78,14910
2020-08-27,2020,August,P102,Laptop,Electronics,S01,Chennai,4,4,160000,20,No,63,46716
2025-07-25,2025,July,P101,Mobile,Electronics,S01,Chennai,7,7,89250,15,Yes,77,13315
2025-08-01,2025,August,P103,Headphones,Accessories,S01,Chennai,2,2,4800,20,No,62,1348
2023-05-21,2023,May,P105,Camera,Electronics,S01,Chennai,9,9,213750,5,No,67,60399
2021-12-20,2021,December,P103,Headphones,Accessories,S01,Chennai,13,13,39000,0,Yes,52,6594
2024-10-29,2024,October,P104,Smartwatch,Electronics,S05,Hyderabad,4,4,40000,0,Yes,69,4810
2021-12-23,2021,December,P105,Camera,Electronics,S02,Madurai,10,10,212500,15,No,38,42127
2023-02-15,2023,February,P102,Laptop,Electronics,S04,Bangalore,4,4,200000,0,No,23,31180
2022-03-11,2022,March,P105,Camera,Electronics,S01,Chennai,15,15,318750,15,No,16,61921
2023-10-02,2023,October,P105,Camera,Electronics,S02,Madurai,3,3,67500,10,No,53,8936
2019-08-13,2019,August,P103,Headphones,Accessories,S05,Hyderabad,17,17,48450,5,Yes,40,11816
2022-02-13,2022,February,P103,Headphones,Accessories,S04,Bangalore,17,17,48450,5,No,18,5816
2021-05-14,2021,May,P105,Camera,Electronics,S04,Bangalore,18,18,427500,5,Yes,37,93445
2025-03-27,2025,March,P104,Smartwatch,Electronics,S02,Madurai,13,13,104000,20,Yes,38,17480
2022-05-07,2022,May,P104,Smartwatch,Electronics,S05,Hyderabad,8,8,80000,0,Yes,90,13041
2022-11-13,2022,November,P104,Smartwatch,Electronics,S04,Bangalore,27,27,216000,20,No,32,42163
2022-09-01,2022,September,P102,Laptop,Electronics,S03,Coimbatore,3,3,135000,10,No,40,38518
2023-01-21,2023,January,P104,Smartwatch,Electronics,S05,Hyderabad,5,5,42500,15,Yes,44,6973
2021-07-08,2021,July,P102,Laptop,Electronics,S05,Hyderabad,9,9,360000,20,No,38,76737
2019-06-13,2019,June,P104,Smartwatch,Electronics,S01,Chennai,16,16,152000,5,No,58,30895
2025-04-25,2025,April,P105,Camera,Electronics,S04,Bangalore,10,10,225000,10,No,62,34976
2023-08-28,2023,August,P103,Headphones,Accessories,S03,Coimbatore,1,1,2700,10,No,85,560
2022-05-20,2022,May,P102,Laptop,Electronics,S05,Hyderabad,16,16,760000,5,No,26,170128
2021-12-06,2021,December,P102,Laptop,Electronics,S03,Coimbatore,18,18,720000,20,Yes,72,126672
2023-03-04,2023,March,P101,Mobile,Electronics,S05,Hyderabad,13,13,185250,5,No,96,26335
2024-08-01,2024,August,P105,Camera,Electronics,S04,Bangalore,18,18,405000,10,Yes,19,109105
2024-03-27,2024,March,P101,Mobile,Electronics,S02,Madurai,15,15,180000,20,No,19,38297
2020-10-27,2020,October,P105,Camera,Electronics,S03,Coimbatore,10,10,200000,20,No,99,59986
2024-12-24,2024,December,P103,Headphones,Accessories,S01,Chennai,7,7,16800,20,No,89,4303
2024-03-21,2024,March,P102,Laptop,Electronics,S03,Coimbatore,4,4,200000,0,Yes,80,21545
2019-07-31,2019,July,P104,Smartwatch,Electronics,S01,Chennai,17,17,170000,0,Yes,28,39885
2020-08-02,2020,August,P104,Smartwatch,Electronics,S05,Hyderabad,9,9,72000,20,No,49,8763
2020-02-05,2020,February,P102,Laptop,Electronics,S01,Chennai,16,16,680000,15,No,76,167779
2021-08-07,2021,August,P102,Laptop,Electronics,S05,Hyderabad,18,18,810000,10,No,89,157614
2024-07-19,2024,July,P104,Smartwatch,Electronics,S02,Madurai,1,1,8000,20,No,46,1008
2021-07-14,2021,July,P101,Mobile,Electronics,S05,Hyderabad,19,19,228000,20,Yes,83,38102
2020-09-09,2020,September,P102,Laptop,Electronics,S03,Coimbatore,12,12,540000,10,Yes,15,133060
2025-06-17,2025,June,P105,Camera,Electronics,S01,Chennai,5,5,100000,20,Yes,47,28614
2020-10-16,2020,October,P105,Camera,Electronics,S02,Madurai,5,5,125000,0,No,51,30491
2025-05-31,2025,May,P104,Smartwatch,Electronics,S05,Hyderabad,7,7,59500,15,No,12,17708
2023-12-30,2023,December,P105,Camera,Electronics,S02,Madurai,18,18,427500,5,No,97,112642
2022-09-15,2022,September,P101,Mobile,Electronics,S05,Hyderabad,15,15,225000,0,Yes,87,55428
2024-09-19,2024,September,P103,Headphones,Accessories,S02,Madurai,17,17,51000,0,No,41,5772
2021-11-23,2021,November,P104,Smartwatch,Electronics,S03,Coimbatore,4,4,34000,15,No,58,6958
2019-03-20,2019,March,P102,Laptop,Electronics,S05,Hyderabad,5,5,212500,15,Yes,10,22996
2024-01-01,2024,January,P103,Headphones,Accessories,S05,Hyderabad,7,7,17850,15,No,58,2319
2022-01-17,2022,January,P102,Laptop,Electronics,S01,Chennai,4,4,190000,5,No,92,43080
2024-02-13,2024,February,P103,Headphones,Accessories,S04,Bangalore,17,17,48450,5,Yes,43,4959
2024-01-18,2024,January,P103,Headphones,Accessories,S04,Bangalore,4,4,12000,0,No,59,2884
2019-10-27,2019,October,P102,Laptop,Electronics,S04,Bangalore,19,19,902500,5,No,86,140090
2025-11-15,2025,November,P104,Smartwatch,Electronics,S03,Coimbatore,10,10,90000,10,Yes,63,21804
2022-07-08,2022,July,P101,Mobile,Electronics,S03,Coimbatore,13,13,185250,5,No,37,41821
2025-06-02,2025,June,P101,Mobile,Electronics,S02,Madurai,3,3,40500,10,No,16,10677
2020-03-19,2020,March,P105,Camera,Electronics,S03,Coimbatore,13,13,260000,20,No,95,76290
2021-10-08,2021,October,P103,Headphones,Accessories,S02,Madurai,8,8,21600,10,No,31,2503
2021-02-28,2021,February,P103,Headphones,Accessories,S02,Madurai,16,16,38400,20,No,56,8892
2023-04-22,2023,April,P102,Laptop,Electronics,S05,Hyderabad,10,10,450000,10,No,89,83357
2024-12-08,2024,December,P102,Laptop,Electronics,S03,Coimbatore,25,25,1062500,15,No,23,314038
2022-12-12,2022,December,P101,Mobile,Electronics,S01,Chennai,3,3,42750,5,No,15,8774
2024-07-30,2024,July,P102,Laptop,Electronics,S01,Chennai,2,2,100000,0,Yes,98,11790
2022-05-16,2022,May,P101,Mobile,Electronics,S02,Madurai,12,12,162000,10,No,42,28066
2024-03-16,2024,March,P103,Headphones,Accessories,S02,Madurai,17,17,48450,5,No,73,6707
2023-10-14,2023,October,P104,Smartwatch,Electronics,S01,Chennai,19,19,180500,5,No,81,25012
2024-12-31,2024,December,P105,Camera,Electronics,S04,Bangalore,18,18,427500,5,No,12,62913
2019-04-20,2019,April,P102,Laptop,Electronics,S05,Hyderabad,2,2,85000,15,Yes,56,18041
2020-07-19,2020,July,P103,Headphones,Accessories,S02,Madurai,5,5,12750,15,No,19,3487
2019-11-19,2019,November,P103,Headphones,Accessories,S03,Coimbatore,1,1,2550,15,No,64,571
2024-04-13,2024,April,P104,Smartwatch,Electronics,S03,Coimbatore,10,10,95000,5,No,99,19453
2020-10-18,2020,October,P103,Headphones,Accessories,S03,Coimbatore,1,1,3000,0,Yes,72,757
2021-04-20,2021,April,P105,Camera,Electronics,S03,Coimbatore,17,17,425000,0,No,45,57784
2022-04-27,2022,April,P103,Headphones,Accessories,S01,Chennai,10,10,28500,5,Yes,19,6794
2024-04-25,2024,April,P101,Mobile,Electronics,S04,Bangalore,2,2,25500,15,Yes,24,7451
2020-12-27,2020,December,P101,Mobile,Electronics,S02,Madurai,27,27,364500,10,No,14,85275
2024-04-03,2024,April,P103,Headphones,Accessories,S03,Coimbatore,7,7,19950,5,No,58,5181
2020-03-12,2020,March,P103,Headphones,Accessories,S05,Hyderabad,6,6,17100,5,No,55,3351
2020-04-16,2020,April,P104,Smartwatch,Electronics,S03,Coimbatore,11,11,104500,5,No,17,16315
2020-12-10,2020,December,P105,Camera,Electronics,S05,Hyderabad,19,19,380000,20,No,11,55552
2024-01-28,2024,January,P104,Smartwatch,Electronics,S02,Madurai,17,17,170000,0,No,99,43593
2020-10-09,2020,October,P104,Smartwatch,Electronics,S03,Coimbatore,13,13,110500,15,Yes,60,15804
2024-02-18,2024,February,P103,Headphones,Accessories,S03,Coimbatore,13,13,37050,5,No,52,8898
2024-05-01,2024,May,P102,Laptop,Electronics,S02,Madurai,5,5,212500,15,Yes,73,33630
2020-10-27,2020,October,P104,Smartwatch,Electronics,S02,Madurai,2,2,20000,0,No,16,3081
2024-06-17,2024,June,P103,Headphones,Accessories,S03,Coimbatore,10,10,25500,15,No,14,4292
2020-12-01,2020,December,P104,Smartwatch,Electronics,S01,Chennai,28,28,280000,0,Yes,14,65430
2022-09-09,2022,September,P103,Headphones,Accessories,S01,Chennai,2,2,6000,0,No,22,1628
2021-09-28,2021,September,P105,Camera,Electronics,S02,Madurai,3,3,60000,20,No,55,9572
2019-06-29,2019,June,P103,Headphones,Accessories,S02,Madurai,13,13,33150,15,No,14,6190
2023-05-03,2023,May,P103,Headphones,Accessories,S04,Bangalore,17,17,48450,5,Yes,40,10360
2020-08-09,2020,August,P105,Camera,Electronics,S02,Madurai,5,5,106250,15,No,62,18570
2020-12-12,2020,December,P103,Headphones,Accessories,S05,Hyderabad,6,6,16200,10,No,98,2934
2022-12-01,2022,December,P104,Smartwatch,Electronics,S03,Coimbatore,27,27,216000,20,Yes,47,27249
2021-05-26,2021,May,P102,Laptop,Electronics,S04,Bangalore,3,3,150000,0,No,88,35370
2021-11-14,2021,November,P104,Smartwatch,Electronics,S01,Chennai,22,22,198000,10,No,52,49390
2024-06-09,2024,June,P102,Laptop,Electronics,S03,Coimbatore,11,11,440000,20,Yes,13,114645
2024-12-02,2024,December,P101,Mobile,Electronics,S04,Bangalore,9,9,121500,10,Yes,74,16662
2024-10-04,2024,October,P105,Camera,Electronics,S01,Chennai,2,2,47500,5,No,23,7591
2019-12-18,2019,December,P104,Smartwatch,Electronics,S02,Madurai,13,13,110500,15,Yes,20,17517
2025-03-05,2025,March,P103,Headphones,Accessories,S01,Chennai,16,16,38400,20,Yes,11,8265
2025-04-25,2025,April,P103,Headphones,Accessories,S01,Chennai,18,18,45900,15,No,62,13394
2024-01-17,2024,January,P105,Camera,Electronics,S01,Chennai,18,18,382500,15,Yes,69,45721
2020-01-24,2020,January,P101,Mobile,Electronics,S02,Madurai,8,8,114000,5,No,95,18132
2023-02-05,2023,February,P105,Camera,Electronics,S01,Chennai,6,6,120000,20,No,64,30370
2023-07-18,2023,July,P105,Camera,Electronics,S03,Coimbatore,14,14,332500,5,No,55,42943
2022-03-24,2022,March,P105,Camera,Electronics,S01,Chennai,18,18,450000,0,No,86,47432
2019-10-08,2019,October,P103,Headphones,Accessories,S04,Bangalore,10,10,25500,15,No,24,6374
2025-04-27,2025,April,P105,Camera,Electronics,S02,Madurai,15,15,300000,20,No,85,54750
2021-02-02,2021,February,P103,Headphones,Accessories,S02,Madurai,14,14,42000,0,No,95,6151
2024-12-02,2024,December,P105,Camera,Electronics,S02,Madurai,4,4,90000,10,No,96,9240
2024-11-25,2024,November,P103,Headphones,Accessories,S03,Coimbatore,19,19,57000,0,Yes,32,12864
2020-11-25,2020,November,P103,Headphones,Accessories,S01,Chennai,22,22,56100,15,No,33,5881
2023-10-03,2023,October,P103,Headphones,Accessories,S03,Coimbatore,13,13,39000,0,Yes,11,4757
2023-09-28,2023,September,P101,Mobile,Electronics,S05,Hyderabad,2,2,24000,20,No,36,6307
2024-11-19,2024,November,P103,Headphones,Accessories,S04,Bangalore,19,19,51300,10,Yes,79,14604
2021-06-02,2021,June,P101,Mobile,Electronics,S05,Hyderabad,11,11,132000,20,No,87,27841
2019-05-01,2019,May,P101,Mobile,Electronics,S04,Bangalore,6,6,81000,10,No,26,11353
2022-02-06,2022,February,P101,Mobile,Electronics,S02,Madurai,9,9,121500,10,No,66,17437
2023-06-15,2023,June,P102,Laptop,Electronics,S05,Hyderabad,1,1,45000,10,Yes,70,9844
2023-06-23,2023,June,P104,Smartwatch,Electronics,S04,Bangalore,9,9,72000,20,No,12,12782
2020-05-16,2020,May,P104,Smartwatch,Electronics,S02,Madurai,2,2,20000,0,No,16,4561
2025-09-11,2025,September,P103,Headphones,Accessories,S04,Bangalore,7,7,18900,10,No,31,2406
2020-07-23,2020,July,P102,Laptop,Electronics,S04,Bangalore,2,2,80000,20,Yes,70,9574
2025-06-09,2025,June,P105,Camera,Electronics,S02,Madurai,14,14,280000,20,Yes,99,47098
2022-05-31,2022,May,P102,Laptop,Electronics,S05,Hyderabad,16,16,760000,5,Yes,22,170373
2020-12-14,2020,December,P104,Smartwatch,Electronics,S01,Chennai,15,15,127500,15,No,67,19310
2020-07-13,2020,July,P103,Headphones,Accessories,S03,Coimbatore,8,8,19200,20,No,93,3496
2024-06-05,2024,June,P103,Headphones,Accessories,S03,Coimbatore,5,5,13500,10,Yes,87,3917
2020-03-07,2020,March,P104,Smartwatch,Electronics,S03,Coimbatore,19,19,180500,5,Yes,48,37136
2023-11-04,2023,November,P102,Laptop,Electronics,S04,Bangalore,15,15,600000,20,No,76,177158
2020-09-12,2020,September,P104,Smartwatch,Electronics,S01,Chennai,1,1,8000,20,No,93,1503
2025-12-11,2025,December,P105,Camera,Electronics,S02,Madurai,6,6,150000,0,Yes,12,15514
2022-11-11,2022,November,P104,Smartwatch,Electronics,S01,Chennai,9,9,90000,0,Yes,41,24008
2021-07-13,2021,July,P103,Headphones,Accessories,S02,Madurai,2,2,4800,20,No,65,1290
2025-07-16,2025,July,P101,Mobile,Electronics,S01,Chennai,18,18,216000,20,No,74,54957
2025-09-19,2025,September,P104,Smartwatch,Electronics,S01,Chennai,2,2,16000,20,Yes,54,1614
2021-07-29,2021,July,P104,Smartwatch,Electronics,S04,Bangalore,15,15,135000,10,No,25,17459
2025-08-31,2025,August,P105,Camera,Electronics,S02,Madurai,4,4,100000,0,Yes,97,20805
2024-11-29,2024,November,P104,Smartwatch,Electronics,S01,Chennai,12,12,96000,20,Yes,24,21079
2020-03-18,2020,March,P105,Camera,Electronics,S01,Chennai,12,12,255000,15,No,27,44345
2019-11-25,2019,November,P101,Mobile,Electronics,S01,Chennai,21,21,283500,10,No,37,84704
2019-01-04,2019,January,P105,Camera,Electronics,S02,Madurai,14,14,332500,5,No,67,49679
2025-03-20,2025,March,P103,Headphones,Accessories,S01,Chennai,2,2,6000,0,Yes,42,649
2021-09-20,2021,September,P104,Smartwatch,Electronics,S04,Bangalore,9,9,85500,5,Yes,58,16789
2021-09-17,2021,September,P103,Headphones,Accessories,S01,Chennai,14,14,42000,0,No,78,9442
2023-10-11,2023,October,P104,Smartwatch,Electronics,S01,Chennai,5,5,40000,20,Yes,39,10568
2025-06-14,2025,June,P101,Mobile,Electronics,S03,Coimbatore,2,2,30000,0,Yes,57,4373
2025-07-13,2025,July,P102,Laptop,Electronics,S01,Chennai,13,13,585000,10,Yes,99,76065
2020-08-17,2020,August,P101,Mobile,Electronics,S04,Bangalore,2,2,27000,10,Yes,74,3558
2020-07-27,2020,July,P104,Smartwatch,Electronics,S04,Bangalore,8,8,80000,0,No,63,14212
2020-09-22,2020,September,P103,Headphones,Accessories,S05,Hyderabad,13,13,33150,15,Yes,37,9267
2020-09-25,2020,September,P105,Camera,Electronics,S05,Hyderabad,7,7,166250,5,No,64,38631
2024-04-14,2024,April,P104,Smartwatch,Electronics,S01,Chennai,1,1,9000,10,No,60,1255
2023-11-25,2023,November,P102,Laptop,Electronics,S02,Madurai,7,7,297500,15,Yes,86,83575
2023-12-14,2023,December,P105,Camera,Electronics,S05,Hyderabad,12,12,285000,5,Yes,88,82499
2022-06-29,2022,June,P103,Headphones,Accessories,S02,Madurai,17,17,40800,20,No,37,5031
2022-11-12,2022,November,P102,Laptop,Electronics,S05,Hyderabad,15,15,675000,10,Yes,91,158866
2021-05-08,2021,May,P104,Smartwatch,Electronics,S05,Hyderabad,4,4,34000,15,No,21,6940
